Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Kettlebell Goblet Foot Elevated Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Overhead Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Overhead,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Overhead Contralateral Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Barbell Overhead Alternating Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Overhead,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Overhead Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,Plyo Box,1,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Suitcase Contralateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Dumbbell Suitcase Ipsilateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Dumbbell Overhead Ipsilateral Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Kettlebell Goblet Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Kettlebell Low Hold Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,0,Standing,Double Arm,Continuous,Pronated,Low Hold,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Kettlebell Low Hold Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,0,Standing,Double Arm,Continuous,Pronated,Low Hold,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Front Rack Ipsilateral Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Double Kettlebell Front Rack Carry,Novice,Abdominals,Rectus Abdominis,,,Kettlebell,2,,0,Walking,Double Arm,Continuous,Neutral,Front Rack,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*,
Double Kettlebell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,2,,0,Walking,Double Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*,
Double Kettlebell Bottoms Up Overhead Carry,Advanced,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,2,,0,Walking,Double Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,Unsorted*,
Single Arm Kettlebell Overhead Carry,Intermediate,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,1,,0,Walking,Single Arm,Continuous,Pronated,Overhead,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,
Single Arm Kettlebell Bottoms Up Overhead Carry,Advanced,Shoulders,Anterior Deltoids,Obliques,,Kettlebell,1,,0,Walking,Single Arm,Continuous,Bottoms Up,Overhead,Alternating,No Elevation,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,
Single Arm Kettlebell Half Kneeling Bent Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,0,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Rotational,Vertical Push,,Transverse Plane,,,Unsorted*,Push,Compound,Unilateral,Grinds,
Double Clubbell Order Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Order,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Clubbell Order Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,2,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Order,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Clubbell Order Contralateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Order,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Clubbell Order Ipsilateral Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,1,Plyo Box,1,Standing,Single Arm,Continuous,Neutral,Order,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Bar Advanced Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Bar Advanced Tuck Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Alternating Double Dumbbell Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Seesaw Sots Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Quadriceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Suspension Single Leg Standing Bent Knee Mid Row,Intermediate,Back,Latissimus Dorsi,,,Suspension Trainer,1,,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Balance,
Bar Circle Front Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Suspension Single Leg Standing Bent Knee Low Row,Intermediate,Back,Latissimus Dorsi,,,Suspension Trainer,1,,0,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Balance,
Single Arm Suspension Rotational Row,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Suspension Trainer,1,,0,Standing,Single Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Rotational,Horizontal Pull,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*,
Alternating Double Indian Club Outer Heart Shaped Swing,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club,2,,0,Standing,Double Arm,Alternating,Neutral,Other,Continuous,No Elevation,Single Exercise,Shoulder External Rotation,,,Transverse Plane,,,Upper Body,Unsorted*,Compound,Unilateral,Mobility,
Double Indian Club Parallel Swing,Intermediate,Shoulders,Posterior Deltoids,,,Indian Club,2,,0,Standing,Double Arm,Continuous,Neutral,Other,Continuous,No Elevation,Single Exercise,Unsorted*,,,Transverse Plane,,,Upper Body,Unsorted*,Compound,Bilateral,Mobility,
Suspension Feet Elevated Decline Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Suspension Trainer,1,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,Feet Elevated,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*,
Bar Front Lever Pull to Inverted Hang,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Bar Full Back Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Bar Full Front Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Slider Atomic Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Sliders,2,,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*,
Slider Reach Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Sliders,1,,0,Prone,Single Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Bar Half Lay Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Bar Half Lay Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Bar Hanging Knee Raise,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bar Hanging Knees to Elbows,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bar Hanging Knees to Wrists,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bar Hanging Leg Raise,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Bar Hanging Leg Raise Toes to Bar,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Obliques,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,
Bar Hanging Oblique Knee Raise,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,
Bar Inverted Hang,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Bar L Sit Hang Flutter Kicks,Intermediate,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Alternating,No Elevation,Single Exercise,Hip Flexion,Isometric Hold,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,
Single Arm Kettlebell Half Kneeling Ipsilateral Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,0,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Ipsilateral,Bodybuilding,
Suspension Rotational Row,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,Obliques,Suspension Trainer,1,,0,Standing,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Rotational,Horizontal Pull,,Transverse Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*,
Slider Alternating Reach Push Up,Intermediate,Chest,Pectoralis Major,Triceps Brachii,,Sliders,1,,0,Prone,Double Arm,Alternating,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Alternating Single Arm Landmine Z Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Landmine,1,,0,Seated Floor,Single Arm,Alternating,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Macebell Bull Whip,Intermediate,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,0,Staggered Stance,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics,
Bar Single Leg Out Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Unilateral,Calisthenics,
Bar Single Leg Out Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Unilateral,Calisthenics,
Double Kettlebell Bottoms Up Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*,
Bar Straddle Back Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Bar Straddle Front Lever,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Alternating Double Kettlebell Bottoms Up Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Alternating Double Kettlebell Bottoms Up Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Bar Tuck Back Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Double Kettlebell Bottoms Up Seesaw Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,0,Standing,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*,
Bar Tuck Front Lever,Advanced,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,,0,Hanging,Double Arm,Continuous,Pronated,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Double Kettlebell Bottoms Up Half Kneeling Seesaw Overhead Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,0,Half Kneeling,Double Arm,Alternating,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Ring Full Planche Push Up,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,0,Prone,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Ring Straddle Planche Push Up,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,0,Prone,Double Arm,Continuous,Supinated,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Bodyweight Fingertip Full Planche Push Up,Grand Master,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Bodyweight,1,,0,Prone,Double Arm,Continuous,Fingertip,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Parallette Wall Supported Handstand Push Up,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Ring Grip Push Up,Expert,Chest,Pectoralis Major,Triceps Brachii,Anterior Deltoids,Gymnastic Rings,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Single Arm Barbell Overhead Press,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Barbell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding,
Ring Shoulder Stand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics,
Ring Strap Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics,
Ring Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics,
Ring Strap Handstand Push Up,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
"Bodyweight Straddle Press Handstand ",Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Bodyweight Alternating Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics,
Bodyweight Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,Plyo Box,1,Standing,No Arms,Continuous,No Grip,No Load,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Calisthenics,
Macebell Order Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Macebell Order Alternating Cossack Squat,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Macebell Order Low Switch Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Alternating,No Elevation,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Macebell Order Foot Elevated Cossack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,Foot Elevated (Lateral),Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Bodyweight Pike Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,1,,0,Inverted,Double Arm,Continuous,Flat Palm,No Load,Continuous,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Parallette L Sit to Straddle Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Parallette L Sit to Pike Press Handstand,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Parallette Bars,2,,0,Inverted,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics,
Heavy Sandbag Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Maximus,Heavy Sandbag,1,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Unsorted*,
